Rolling GDP Z Score,Rolling M2 Z Score,Rolling Bond Z Score
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1.6645566866614354,1.8693134470509931,3.0368704291581285
1.7334441868845127,1.8565581661460422,3.1920577582932257
1.760474925466083,1.8328940696451819,2.8003959840253363
1.7128834344424426,1.828160382565504,2.5031769866845694
1.641395655682541,1.846718491530887,2.0478797239603774
1.6696316297295182,1.8582088514135318,2.480820877252411
1.5965812292298154,1.8108256235177822,2.53808611732444
1.5616569790175132,1.7418951663009494,2.4505200929468374
1.4419109099414396,1.6822644125813795,2.425127630138309
1.3619402470126103,1.6544518194712867,2.641652976859867
1.3122809089624439,1.5511329090828831,2.295771785712855
1.3341675453958663,1.5859830220544073,2.4962636483511993
1.1756141880199173,1.6878093641066798,1.976241149610233
1.3711715883533575,1.768712536278087,1.3714320022418807
1.360717391802336,1.926601013519711,1.2152587689070429
1.3804037923560197,2.013860354488745,1.4149031814750415
1.3470607227404665,2.058639813763587,1.1631784338520912
1.4818919588671335,2.0932953250676762,0.9622251233331884
1.6605039003624582,2.1261309506537205,0.9884057545561717
1.6873743546748412,2.147854667338843,0.8718009695652773
1.7962340319733727,2.206366044288761,0.8241016137758564
1.976596819071233,2.2124439667707616,0.7331772306349676
1.988383957984994,2.108127995351317,0.7734589719952072
1.8211339216168805,2.0704755019599195,0.8775904449429488
1.8424781093135991,1.9605962335974274,0.9519004150349512
1.651838062027919,1.9399625437573567,1.094296931733647
1.6054354486399458,1.8932460544958367,1.3953536021941069
1.4179341632867426,1.8208793748517662,1.7254056696302555
1.3049559449872554,1.778206615423735,2.0837116468921923
1.0896900502992504,1.7461038356998602,1.621898271147931
1.1293636626539578,1.8127653153114092,1.6495887358005785
1.2984626052412758,1.9324635544587092,1.480971673880384
1.4158650223899627,1.9306174471607516,1.4293305864653478
1.6453419514924736,1.9593902766533788,1.1452330136605882
1.6626274741497757,2.0063527742779317,0.9219320274825104
1.654269240182727,1.9937758658292823,1.0527741051547321
1.6721666749788437,2.0418871315893,0.7498697952657012
1.7428517563631154,2.0807842892156856,0.28737020342830716
1.8989124814373635,2.079259333399351,0.3395238946518074
2.009990110693829,2.0403783306641543,0.16077495530066066
1.8731404919824357,2.0039720713206552,0.24326307423186683
1.7902093551732559,1.9627545105140982,0.7508865270658138
2.1484515924769623,1.906024750586897,0.9361121353167774
2.10198814044347,1.868559626204899,1.3694581405194735
2.104130074454253,1.8528075649836426,1.306482266955263
1.975196670260181,1.8055905360268685,1.737215643721378
1.8597479480584436,1.807298582372728,1.783863388161388
1.8306365482583362,1.8159582633676326,1.4500941368392248
1.759256099608683,1.796584859033005,2.4318568562922054
1.6945161748159245,1.7671573949916337,3.0576712570636224
1.3594050477239186,1.7293944749403698,3.3258741667158502
1.2810210571692642,1.7758023067917488,2.1844811793484182
1.4501134191189666,1.8002973248100056,2.8005066179024682
1.6185968340362094,1.7629350921734956,2.75798385637103
1.4372617339674802,1.8258443786933773,2.960137266739433
1.5105651143534653,1.7835676844463653,2.8074285747482377
