Date,Money Supply,S&P 500,DOW,NASDAQ
1980-02-01,-0.6744681849698396,-1.1103755252204128,-1.1159357027053571,-0.8493545712723752
1980-04-01,-0.672789461486768,-1.1250663333682345,-1.1285624281059283,-0.8602404494337889
1980-05-01,-0.6705585263316333,-1.1213425427403476,-1.1253969610227215,-0.8577989664716612
1980-07-01,-0.6632251553266364,-1.1105912326043452,-1.1171344671723116,-0.8508963640298046
1980-08-01,-0.659691000625433,-1.103461535914367,-1.1094277522875802,-0.8455504869628827
1980-10-01,-0.6545443878418056,-1.0967405479518395,-1.108394289761237,-0.8391555935162088
1980-12-01,-0.6512311178094273,-1.085296703583212,-1.1044856147403201,-0.8334476004747817
1981-04-01,-0.63811056848121,-1.0860232968764583,-1.0986688086569112,-0.8310471822107937
1981-05-01,-0.6370061451370839,-1.0903942096561423,-1.1010832582619063,-0.8290536777738271
1981-06-01,-0.63565874865725,-1.0907461532825584,-1.1007747814121038,-0.8266868578992262
1981-07-01,-0.6330964864988775,-1.093743350617199,-1.1047185993652766,-0.8298189744209772
1981-09-01,-0.62777316598019,-1.101406639256905,-1.11577560712508,-0.8370836928373389
1981-10-01,-0.6242831882127516,-1.1081503332598464,-1.119738948929506,-0.8423399741992285
1981-12-01,-0.6168393748733421,-1.0979099090331577,-1.11479811297233,-0.834858732829039
1982-02-01,-0.612642566165663,-1.1073556218453584,-1.1198131395642688,-0.8402008767415845
1982-03-01,-0.6099919501397605,-1.1124304218778749,-1.1228458444589529,-0.8426983570193574
1982-04-01,-0.6061485569022018,-1.1118854769079403,-1.1222145732684286,-0.8437511065534858
1982-06-01,-0.6012670057211646,-1.1142809641716112,-1.1245925783510844,-0.8437324407816041
1982-07-01,-0.6000521400426261,-1.117652811173082,-1.126115438748844,-0.8462560531400114
1982-09-01,-0.5941103424512278,-1.1068220298956306,-1.1141694449619726,-0.8437548397078621
1982-10-01,-0.591614345693503,-1.102598706378637,-1.1125177271459408,-0.8394990437188323
1982-11-01,-0.5885219603299501,-1.087272129099225,-1.0997673506874317,-0.829860039119117
1982-12-01,-0.5836183206820303,-1.0835823975319592,-1.0964626134652846,-0.8219942828481641
1983-02-01,-0.5635399042858187,-1.078768716964203,-1.0927270499254804,-0.8173054409514785
1983-03-01,-0.5594756263794348,-1.0697771249602814,-1.0834961730529056,-0.8122022189190189
1983-06-01,-0.5510157435634292,-1.0565281503787451,-1.0741898039554845,-0.794981177780953
1983-07-01,-0.5485197468057043,-1.0496141610726992,-1.071189638812889,-0.7898928883659987
1983-08-01,-0.5464876078525124,-1.0571071544093007,-1.0752310760223287,-0.7971725393998658
1983-09-01,-0.5444554688993205,-1.0546208429839738,-1.073591072517049,-0.7999836046452512
1983-11-01,-0.5380277250365068,-1.0552679651357713,-1.0706677011893833,-0.8080136197087631
1983-12-01,-0.5355538167456645,-1.0520550604171983,-1.064702513836449,-0.8031493195563894
1984-02-01,-0.5278891187374297,-1.0563124429948128,-1.0728751979710935,-0.8104812347515252
1984-03-01,-0.5241340793674011,-1.0614780671889847,-1.0797567047428507,-0.8153082033601355
1984-05-01,-0.5177505124383525,-1.0575158631367516,-1.0766901585059943,-0.8165177453780704
1984-06-01,-0.5153207810812751,-1.067097812191436,-1.0843239843460468,-0.8218785550624975
1984-08-01,-0.5119412456482494,-1.0661441584940503,-1.082988552920319,-0.8228305094284648
1984-10-01,-0.5056460325867309,-1.054178075195902,-1.0746102175524728,-0.8174137024283924
1984-11-01,-0.5006761275381636,-1.050919758396501,-1.072253037911154,-0.8173614382671237
1985-02-01,-0.48461781211457083,-1.0382724938859342,-1.0643614972345574,-0.8060126489630437
1985-03-01,-0.48194510762178583,-1.0330501045907272,-1.0615448562937435,-0.8027274731118628
1985-04-01,-0.4799129686685938,-1.0352752965512937,-1.0650083875060845,-0.8053033496315387
1985-05-01,-0.47679849483815834,-1.0385676724113155,-1.0690042690625996,-0.8055646704378827
1985-07-01,-0.4679631080851499,-1.022605326000313,-1.0566274489580711,-0.7992556395418646
1985-08-01,-0.46476028038718437,-1.022968622646936,-1.0542221104836607,-0.796455773759608
1985-10-01,-0.4594590483353793,-1.0309611488726445,-1.0561315431362366,-0.8047433764750873
1985-11-01,-0.45729437858089217,-1.0236270978189406,-1.0497147040243082,-0.8001515965921867
1986-04-01,-0.4396236050748753,-0.9741165766963361,-0.9976693229432615,-0.7702490300376866
1986-05-01,-0.4336597190165946,-0.9740938706559222,-0.9992741835162854,-0.7674491642554301
1986-07-01,-0.42442673985970086,-0.9549299725465537,-0.9829053866254924,-0.757780294420704
1986-08-01,-0.42003113495007915,-0.9743776961610965,-1.0011146318944326,-0.7715556340694064
1986-10-01,-0.410996951995128,-0.9758649418082098,-0.998607769393505,-0.7784246381218757
1986-12-01,-0.40202903444082444,-0.9583245255884383,-0.9817339555502925,-0.7763340716711241
1987-04-01,-0.39325991308846364,-0.909131889031629,-0.929213494088748,-0.750052664861676
1987-05-01,-0.3921113128105725,-0.9140704528216618,-0.9338536627366231,-0.7537484876942545
1987-06-01,-0.3917358088735696,-0.9120269091844069,-0.9328345177011992,-0.7550177601822109
1987-07-01,-0.3907639163307387,-0.8971430996930666,-0.9170162934157502,-0.751471263524686
1987-09-01,-0.3862357806198219,-0.8739148203496022,-0.8908269993445318,-0.741018431270928
1987-10-01,-0.3828562451867961,-0.8694530834082623,-0.8871526105386548,-0.7425116930214649
1987-12-01,-0.3802939830284237,-0.9776814250413253,-0.9908711179368516,-0.796007795234447
1988-02-01,-0.3705750576001144,-0.9515240664844621,-0.9775571529721632,-0.7807018622914444
1988-03-01,-0.3660910988229627,-0.9376960878723702,-0.961177943360702,-0.7728249065573626
1988-06-01,-0.3555549001200001,-0.9382977979433398,-0.9620187705546787,-0.770025040775106
1988-07-01,-0.3536111150343383,-0.9325191106579912,-0.9532239263600948,-0.7625960635661853
1988-08-01,-0.3525508686239772,-0.9320309307890913,-0.9533631964990351,-0.7650972769983345
1988-09-01,-0.35146853374673365,-0.9477662167959543,-0.9700495813702157,-0.7706970085628476
1988-11-01,-0.3463219209631063,-0.9242541119473157,-0.9507014447781643,-0.7671878434490861
1988-12-01,-0.3445548436125046,-0.9317130462232961,-0.9570896489082543,-0.7703610246689768
1989-02-01,-0.34367130493720377,-0.9037846165141453,-0.9263291704635892,-0.7594228823462945
1989-03-01,-0.3420146699210147,-0.9151149306807032,-0.9387164032887861,-0.7606921548342509
1989-05-01,-0.33938614236199466,-0.890126933205158,-0.9163394665723014,-0.7503513172117833
1989-06-01,-0.3357857222601437,-0.8755383022391992,-0.9064903344100376,-0.7425863561089918
1989-08-01,-0.3255145851597714,-0.8508114242284144,-0.8869027052426122,-0.7407197789208207
1989-09-01,-0.3215165726540351,-0.8394811100618564,-0.8724589600853977,-0.734000101043405
1989-11-01,-0.31250447816596644,-0.8537064443811921,-0.8862805451826727,-0.7394878379766279
1989-12-01,-0.30826349252452245,-0.8430005463260177,-0.8730368660824963,-0.7393011802578108
1990-02-01,-0.30236587186688935,-0.8677955424580444,-0.8940432284409972,-0.7539724769568351
1990-03-01,-0.2999582289766945,-0.8633110994762905,-0.8876224845588183,-0.7504633118430736
1990-05-01,-0.2976389399540298,-0.863867397466432,-0.8832842848103281,-0.7524418836625348
1990-06-01,-0.29474535079241954,-0.8287752120066818,-0.8530808869214248,-0.7374346030696397
1990-08-01,-0.2884943146646661,-0.8374489194448085,-0.8533034588257127,-0.7472154675356559
1990-10-01,-0.28467300989398986,-0.8835194754447003,-0.9032090258093943,-0.7775286810715537
1990-11-01,-0.28394409048686675,-0.8925110674486222,-0.9111344078281634,-0.7865255831185382
1991-02-01,-0.2746890228630904,-0.8516061356429024,-0.8752443628642063,-0.7540098085005985
1991-03-01,-0.27084562962553166,-0.8204761542353854,-0.8519185669768098,-0.7394505064328644
1991-04-01,-0.26852634060286695,-0.8195338535582068,-0.8556554321066973,-0.7304312054596219
1991-05-01,-0.26618496311331974,-0.8093274883921391,-0.8492763391071922,-0.7278217305505589
1991-07-01,-0.2632913739517095,-0.8120181541811913,-0.8456045534814824,-0.7302632135126865
1991-08-01,-0.26353434708741724,-0.8015733755907772,-0.837891330646333,-0.7217366889171212
