m2_supply,Close
11562.1,375.0719909667969
11598.2,325.7489929199219
11677.5,379.2449951171875
11747.4,314.2489929199219
11875.2,226.9720001220703
11891.8,260.2019958496094
11931.1,253.0050048828125
11961.4,234.92999267578125
12006.5,225.80299377441406
12055.9,255.41200256347656
12104.6,282.614013671875
12158.6,229.28399658203125
12196.5,237.29299926757812
12280.9,325.4309997558594
12344.3,362.4880065917969
12475.9,434.3340148925781
12556.9,373.0559997558594
12621.1,435.12298583984375
12701.5,420.87298583984375
12768.3,444.66900634765625
12835.4,537.9719848632812
12894.0,703.7020263671875
12973.5,547.4650268554688
13032.8,575.5369873046875
13105.6,610.8920288085938
13180.2,729.7930297851562
13220.3,756.7739868164062
13295.3,998.3250122070312
13365.9,989.0230102539062
13435.2,1222.5
13493.2,1102.1700439453125
13544.0,1452.8199462890625
13571.3,2488.550048828125
13628.1,2506.469970703125
13677.1,2710.669921875
13718.7,4578.77001953125
13771.7,4409.31982421875
13806.1,6767.31005859375
13858.7,10975.599609375
13876.1,13657.2001953125
13918.7,9170.5400390625
13975.1,10951.0
14005.5,7083.7998046875
14070.6,9235.919921875
14130.3,7643.4501953125
14159.4,6614.18017578125
14201.8,7567.14990234375
14232.4,7272.72021484375
14239.7,6556.10009765625
14258.3,6377.77978515625
14377.2,4214.671875
14446.8,3843.52001953125
14489.8,3487.9453125
14536.7,3859.583740234375
14572.7,4879.8779296875
14672.5,5505.28369140625
14791.2,8742.9580078125
14862.1,10801.677734375
14938.8,10518.1748046875
15030.1,10346.7607421875
15156.7,8393.0419921875
15254.4,9261.1044921875
15329.1,7424.29248046875
15410.0,7200.17431640625
15473.4,9392.875
16014.3,8562.4541015625
17042.9,6793.62451171875
17893.0,8988.5966796875
18179.6,9529.8037109375
18320.0,9123.41015625
18381.8,11053.6142578125
18605.0,11414.0341796875
18751.1,10585.1640625
18960.2,13737.109375
19131.4,18802.998046875
19396.5,29374.15234375
19667.9,33537.17578125
19914.0,49631.2421875
20119.9,59384.3125
20371.9,56631.078125
20388.9,37575.1796875
