M2SL,Corporate Bonds
3200.6,9.47
3213.7,9.26
3224.5,9.24
3242.0,9.41
3254.6,9.56
3259.3,9.53
3262.6,9.3
3271.8,9.05
3287.7,9.04
3304.5,8.83
3321.9,8.93
3332.4,8.86
3343.0,8.86
3351.9,9.01
3356.1,9.0
3355.0,8.75
3354.9,8.61
3360.1,8.55
3365.5,8.48
3372.2,8.31
3381.2,8.2
3400.0,8.29
3403.9,8.35
3399.7,8.33
3398.6,8.28
3393.4,8.22
3393.9,8.07
3398.8,7.95
3410.3,7.92
3423.8,7.99
3426.5,8.1
3424.7,7.98
3419.1,7.91
3414.5,7.71
3411.7,7.58
3411.3,7.46
3436.9,7.43
3442.4,7.33
3442.0,7.17
3445.7,6.85
3452.2,6.66
3456.7,6.67
3470.1,6.93
3474.5,6.93
3474.9,6.92
3475.7,7.08
3480.1,7.48
3481.3,7.88
3490.8,7.99
3479.5,7.97
3488.2,8.11
3485.7,8.07
3486.1,8.34
3484.3,8.57
3487.2,8.68
3486.4,8.46
3492.4,8.46
3489.9,8.26
3491.1,8.12
3499.2,8.03
3524.2,7.65
3548.9,7.3
3567.4,7.41
3589.0,7.57
3602.1,7.32
3613.4,7.12
3619.9,7.02
3629.5,6.82
3647.9,6.81
3661.8,6.99
3687.0,7.35
3697.8,7.5
3709.6,7.62
3722.5,7.71
3737.2,7.65
3744.1,7.46
3753.5,7.66
3772.9,7.39
3795.2,7.1
3818.7,7.2
3834.7,7.42
3846.4,7.31
3861.3,7.55
3877.3,7.73
3889.5,7.58
3906.3,7.41
3924.2,7.14
3957.7,7.22
3973.4,7.15
3992.7,7.0
4015.2,6.87
4033.3,6.76
4056.6,6.61
4089.3,6.67
4114.7,6.72
4140.6,6.69
4164.8,6.69
4184.6,6.53
4204.4,6.55
4229.3,6.52
4268.2,6.4
4308.4,6.37
4347.0,6.41
4375.9,6.22
4403.3,6.24
4426.0,6.4
4432.7,6.62
4461.4,6.64
4486.0,6.93
4507.8,7.23
4535.2,7.19
4552.4,7.4
4568.4,7.39
4592.2,7.55
4611.2,7.36
4638.7,7.55
4666.9,7.78
4680.1,7.68
4710.8,7.68
4766.8,7.64
4754.6,7.99
4772.4,7.67
4790.0,7.65
4818.1,7.55
4853.8,7.62
4869.7,7.55
4880.6,7.45
4925.2,7.21
4975.8,7.15
5014.1,7.1
5071.9,6.98
5135.9,7.2
5132.9,7.29
5173.2,7.18
5203.2,7.13
5237.1,7.02
5348.2,7.17
5336.8,7.03
5380.4,6.97
5433.5,6.77
5453.9,6.55
5483.3,6.51
5495.2,6.81
5495.5,6.76
5521.6,6.75
5546.6,6.63
5589.2,6.53
5631.6,6.37
5656.0,6.15
5700.6,6.32
5750.7,6.31
5772.0,6.21
5804.5,6.17
5840.7,5.95
5861.5,5.89
5898.8,5.74
5959.2,5.22
5995.9,4.97
6042.6,5.49
6100.7,5.88
6072.7,5.72
6063.6,5.7
6068.8,5.65
6067.0,5.62
6075.5,5.54
6114.3,5.5
6150.0,5.33
6191.1,5.73
6267.9,6.04
6270.2,6.01
6283.9,5.82
6310.0,5.65
6344.7,5.46
6372.9,5.47
6399.4,5.52
6417.9,5.47
6424.1,5.36
6432.5,5.2
6441.5,5.4
6455.7,5.33
6473.1,5.15
6505.5,4.96
6537.1,5.06
6569.8,5.09
6604.0,5.13
6638.1,5.35
6654.5,5.42
6681.2,5.37
6723.6,5.29
6747.9,5.35
6762.3,5.53
6799.6,5.84
6806.3,5.95
6844.4,5.89
6885.8,5.85
6916.6,5.68
6943.7,5.51
6992.8,5.51
7027.6,5.33
7070.7,5.32
7108.5,5.4
7124.4,5.39
7158.1,5.3
7230.5,5.47
7244.3,5.47
7277.5,5.79
7307.8,5.73
7384.2,5.79
7402.5,5.74
7416.1,5.66
7441.0,5.44
7471.1,5.49
7504.8,5.33
7589.5,5.53
7655.3,5.51
7698.2,5.55
7710.3,5.57
7727.8,5.68
7774.2,5.67
7789.2,5.64
7859.1,5.65
7967.2,6.28
8017.9,6.12
8194.1,5.05
8275.3,5.05
8304.5,5.27
8370.4,5.5
8373.7,5.39
8431.4,5.54
8440.9,5.61
8445.8,5.41
8445.4,5.26
8444.6,5.13
8471.5,5.15
8501.6,5.19
8496.4,5.26
8458.5,5.26
8508.2,5.35
8505.2,5.27
8535.8,5.29
8590.7,4.96
8609.7,4.88
8619.4,4.72
8669.7,4.49
8700.7,4.53
8749.8,4.68
8770.5,4.87
8802.2,5.02
8823.2,5.04
8887.0,5.22
8943.4,5.13
9004.9,5.16
9075.5,4.96
9151.3,4.99
9317.0,4.93
9508.6,4.37
9529.7,4.09
9563.5,3.98
9614.2,3.87
9661.9,3.93
9735.6,3.85
9793.5,3.85
9841.2,3.99
9894.0,3.96
9938.7,3.8
10002.3,3.64
10059.5,3.4
10119.4,3.48
10197.4,3.49
10260.8,3.47
10324.2,3.5
10455.8,3.65
10481.1,3.8
10493.0,3.9
10559.3,3.93
10593.7,3.73
10633.5,3.89
10686.0,4.27
10732.4,4.34
10786.9,4.54
10838.6,4.64
10952.1,4.53
10957.4,4.63
11023.6,4.62
11079.9,4.49
11172.6,4.45
11210.8,4.38
11263.1,4.24
11329.6,4.16
11380.4,4.25
11437.4,4.16
11466.5,4.08
11500.2,4.11
11562.1,3.92
11598.2,3.92
11677.5,3.79
11747.4,3.46
11875.2,3.61
11891.8,3.64
11931.1,3.52
11961.4,3.98
12006.5,4.19
12055.9,4.15
12104.6,4.04
12158.6,4.07
12196.5,3.95
12280.9,4.06
12344.3,3.97
12475.9,4.0
12556.9,3.96
12621.1,3.82
12701.5,3.62
12768.3,3.65
12835.4,3.5
12894.0,3.28
12973.5,3.32
13032.8,3.41
13105.6,3.51
13180.2,3.86
13220.3,4.06
13295.3,3.92
13365.9,3.95
13435.2,4.01
13493.2,3.87
13544.0,3.85
13571.3,3.68
13628.1,3.7
13677.1,3.63
13718.7,3.63
13771.7,3.6
