M2 Z Score,Bond Z Score
-0.9412968649106943,-1.0340895811747135
-0.9410538917749867,-1.0266524419873002
-0.9407225647717489,-1.030371011581007
-0.940523768569806,-0.9931853156439396
-0.9400599107652732,-0.9411253413320458
-0.9396402298945052,-0.9076582149886855
-0.9393972567587976,-0.9039396453949788
-0.9391321951562074,-0.9188139237698058
-0.9390659297555598,-0.8853467974264454
-0.9391101066893248,-0.8667539494579116
-0.9389775758880295,-0.8704725190516186
-0.9388229566198519,-0.863035379864205
-0.9387346027523219,-0.8518796710830847
-0.938690425818557,-0.8704725190516186
-0.9384916296166141,-0.8965025062075653
-0.938314921881554,-0.9113767845823921
-0.9381382141464939,-0.9076582149886855
-0.9378289756101384,-0.9113767845823921
-0.9374313832062531,-0.926251062957219
-0.9368129061335426,-0.9745924676754062
-0.9364815791303048,-0.9857481764565263
-0.9362386059945971,-0.9671553284879929
-0.9359293674582418,-0.9634367588942863
-0.9355980404550039,-0.9485624805194595
-0.935222536518001,-0.9597181893005793
-0.9346924133128206,-0.9783110372691131
-0.9342948209089351,-0.9969038852376466
-0.9339414054388149,-0.9857481764565263
-0.9334333707005169,-0.9783110372691131
-0.9329695128959838,-0.9559996197068726
-0.9326823628265111,-0.926251062957219
-0.9322405934888607,-0.9113767845823921
-0.9318209126180929,-0.9113767845823921
-0.9314674971479724,-0.9225324933635124
-0.9309594624096745,-0.9336882021446326
-0.9304956046051416,-0.9225324933635124
-0.9300538352674911,-0.9225324933635124
-0.9294795351285455,-0.9225324933635124
-0.9288168811220698,-0.9336882021446326
-0.9282867579168894,-0.9559996197068726
-0.927844988579239,-0.9745924676754062
-0.9274473961753535,-0.9745924676754062
-0.9271160691721158,-0.952281050113166
-0.9266742998344654,-0.9485624805194595
-0.9262104420299325,-0.9597181893005793
-0.9257024072916346,-0.9745924676754062
-0.9251281071526889,-0.9857481764565263
-0.9244875416130959,-0.989466746050233
-0.9239353299410328,-1.0006224548313531
-0.9233389413352048,-1.0080595940187664
-0.9227204642624942,-1.0080595940187664
-0.9221461641235486,-1.0006224548313531
-0.9215276870508379,-0.9969038852376466
-0.9210196523125401,-0.9931853156439396
-0.9204232637067118,-0.9820296068628197
-0.9198710520346488,-0.9708738980816995
-0.9193409288294684,-0.9634367588942863
-0.9188328940911704,-0.9597181893005793
-0.9181260631509297,-0.9559996197068726
-0.9177505592139269,-0.9485624805194595
-0.9173087898762765,-0.9336882021446326
-0.9167786666710959,-0.9448439109257525
-0.9162927203996805,-0.9374067717383392
-0.9158730395289126,-0.9299696325509256
-0.9153208278568495,-0.926251062957219
-0.9146802623172564,-0.926251062957219
-0.9140176083107807,-0.9299696325509256
-0.9132886889036577,-0.926251062957219
-0.9125155925627695,-0.9225324933635124
-0.9120296462913539,-0.9225324933635124
-0.9113890807517608,-0.9188139237698058
-0.9107926921459327,-0.9150953541760988
-0.9101742150732222,-0.9188139237698058
-0.9095336495336291,-0.926251062957219
-0.9089151724609185,-0.9225324933635124
-0.9084292261895031,-0.9188139237698058
-0.9080537222525,-0.9150953541760988
-0.9073910682460244,-0.9076582149886855
-0.906772591173314,-0.900221075801272
-0.9061320256337208,-0.8965025062075653
-0.9053147523590674,-0.8853467974264454
-0.9046300098857094,-0.8704725190516186
-0.9039452674123513,-0.8555982406767917
-0.903172171071463,-0.825849683927138
-0.9025536939987524,-0.8035382663648976
-0.9019793938598069,-0.7886639879900708
-0.9014050937208613,-0.736604013678177
-0.9009412359163282,-0.7217297353033502
-0.9007645281812682,-0.7142925961159365
-0.9005215550455604,-0.6808254697725762
-0.900587820446208,-0.6473583434292159
-0.9002123165092052,-0.5915797995236155
-0.8995938394364945,-0.5246455468368946
-0.899527574035847,-0.5543941035865482
-0.8991741585657266,-0.5767055211487886
-0.8985335930261336,-0.5618312427739618
-0.8982243544897782,-0.632484065054389
-0.89745125814889,-0.6956997481474031
-0.8964351886722941,-0.6585140522103361
-0.8959050654671136,-0.6659511913977494
-0.8947785536561049,-0.6176097866795622
-0.893718307245744,-0.543238394805428
-0.8927685031697955,-0.4911784204935342
-0.891774522160082,-0.47630414211870736
-0.8909130719516638,-0.46514843333758715
-0.8901399756107755,-0.40193275024457314
-0.8894773216042999,-0.3089685104019054
-0.8886821367965291,-0.2643456752774249
