GDP Z Score,M2 Z Score,Bond Z Score
-1.4187387689045736,-0.9413479886444162,-1.0306428249918465
-1.404418409969929,-0.9405699751247001,-0.9899170760949935
-1.403960246295337,-0.9394362982816855,-0.9010608966836784
-1.4021090943057584,-0.9391473218315052,-0.8640374885956302
-1.3874622886712937,-0.9387694295505004,-0.8492281253604109
-1.3910540154370623,-0.9383470793540829,-0.9084655783012878
-1.3878106882002426,-0.937457921045836,-0.9232749415365071
-1.3963572498071193,-0.9362575573297028,-0.96400069043336
-1.3919205423868342,-0.9352350252752188,-0.9565960088157502
-1.380686588614127,-0.9339457457282611,-0.9825123944773839
-1.367766738871115,-0.932678695139009,-0.9232749415365071
-1.3543141264878609,-0.9314561024651696,-0.9195726007277023
-1.341838821534704,-0.9300334491719746,-0.9195726007277023
-1.3354056262653313,-0.9282551325554809,-0.9528936680069455
-1.3265807922225556,-0.9270769977970538,-0.9491913271981408
-1.3241891534491523,-0.9256543445038589,-0.9714053720509694
-1.316225561415803,-0.923876027887365,-0.9973217577126032
-1.3079497513681795,-0.922075482313165,-0.9973217577126032
-1.2915540370131333,-0.9203416236120836,-0.9788100536685792
-1.2865571259161956,-0.9187411386572393,-0.9565960088157502
-1.2703829725217994,-0.9172073405755135,-0.9306796231541169
-1.261854298405324,-0.9157624583246122,-0.9269772823453118
-1.2494826595897188,-0.9138952258772937,-0.9269772823453118
-1.2469985343602643,-0.9118946196837382,-0.9195726007277023
-1.2274773875914968,-0.9100273872364198,-0.9158702599188976
-1.2170392238747028,-0.9082712995776322,-0.9158702599188976
-1.1984372501922285,-0.9066041277496694,-0.8973585558748733
-1.1787307239774856,-0.9044479188521707,-0.8677398294044353
-1.1574309915154255,-0.9023583968277905,-0.8010976948459486
-1.15436918165279,-0.9007356829152399,-0.719646197052243
-1.1467523630128984,-0.9003800195919411,-0.6455993808761469
-1.1393113702729722,-0.899313029622045,-0.5530408606560269
-1.1312136220616145,-0.8980015211173809,-0.6307900176409277
-1.1306481334446157,-0.8956674805582328,-0.6641110849201708
-1.1219145662562728,-0.8925109685639563,-0.4901010669063452
-1.114888441333491,-0.8898657225969219,-0.4012448874950299
-1.09574049265991,-0.887820658487954,-0.2716629591868619
-1.0797342377549608,-0.8859756549983417,-0.2568535959516427
-1.0721861233395644,-0.8837749881854307,-0.2457465735252282
-1.06832547441697,-0.88110751326069,-0.30128168565730035
-1.0529025956194205,-0.8785067252090679,-0.11616464521706024
-1.0498600961157405,-0.8770840719158729,-0.005094420952916228
-1.0432293253842102,-0.8762393715230383,0.06525005441437516
-1.048157532256653,-0.8753724421724977,0.1578085746344952
-1.0496505279043367,-0.873994246794715,0.3725443415451738
-1.0482254234134025,-0.8742609942871891,0.34292561507473535
-1.0389590935848176,-0.8718824958126287,0.5687684044118281
-1.0498338746809481,-0.8680368861294608,0.41697243125083117
-1.0225678511023717,-0.8643691081079425,0.16891559706090972
-1.0169879704319067,-0.8587007238928687,0.1281898481640568
-1.008455840777513,-0.8539881848591602,0.27258113970744396
-1.0059912291739508,-0.8498091408103998,0.1800226194873239
-0.9867235562748441,-0.8455189519731087,0.1059758033112281
-0.9625047073394847,-0.840917557727931,0.14670155220808073
-0.9521992769321441,-0.8362272476519288,0.11338048492883755
-0.9337544285914887,-0.8301365132404376,0.11338048492883755
-0.9060369491472209,-0.8249349371371933,0.09116644007600888
-0.893542333835108,-0.8228454151128133,0.1318921889728615
-0.8996437974643144,-0.8191109502181763,0.2022366643401529
-0.8886889291952519,-0.8177549837980999,0.2577717764722247
-0.898705720552938,-0.8139538320303444,0.34292561507473535
-0.89596039731024,-0.8110196096131297,0.49842392904453703
-0.9069030695631202,-0.809130148208105,0.672433947058363
-0.911354412202824,-0.8064849022410705,0.8760626915426267
-0.9252605131211338,-0.8035951377392682,0.7131596959552156
-0.9171971170220236,-0.7971931979198907,0.7575877856608729
-0.8977434548761326,-0.7883016148374219,0.7168620367640203
-0.8821776794223108,-0.7832556414381208,0.7242667183816298
-0.8558320485316463,-0.7768537016187433,0.628005857352705
-0.8470429894696727,-0.7692513980832324,0.5539590411766092
-0.8404217722841523,-0.7635830138681585,0.6131964941174861
-0.8316270217479603,-0.75498040723587,0.5243403147061707
-0.8171879549224721,-0.7460443662379889,0.39105604558919776
-0.7931479808911236,-0.7383976047870657,0.4206747720596359
-0.7704024107106191,-0.7323735572486931,0.3836513639715883
-0.7703743598733991,-0.7263050517949081,0.4206747720596359
-0.7662783278384809,-0.720592209664422,0.5576613819854139
-0.7165273222918347,-0.7159908154192443,0.6131964941174861
-0.7030814177174809,-0.7107225524428815,0.7316713999992399
-0.6849266312950344,-0.704453986369741,0.7353737408080446
-0.6824656784963269,-0.7001637975324498,0.8686580099250173
-0.680999514084245,-0.6933839654320674,0.91678844043948
-0.6708018151531839,-0.6861150962621491,0.850146305880993
-0.667343431497678,-0.6804244830893691,1.1944640010998402
-0.6629829491785343,-0.6754674255208928,1.549888718745101
-0.6916391153349879,-0.6711327787681892,1.9016110955815568
-0.6932579332162885,-0.6615076400814167,1.5424840371274915
-0.6678859509508663,-0.6527716597028911,2.001574297419287
-0.6407311143864879,-0.6478590600498271,2.186691337859527
-0.6512024106139115,-0.6362333151694991,2.582841804401641
-0.6344066669280767,-0.6311873417701981,2.767958844841881
-0.6498712154475831,-0.6223179876454353,3.145597607339971
-0.6716809446530113,-0.6115147142002358,3.064146109546265
-0.6653760108204921,-0.6040680133686682,2.7975775713123197
-0.6706837170631493,-0.5979328210417647,2.853112683444391
-0.6701312375300786,-0.589441359198007,1.9312298220519952
-0.6518973802693819,-0.5695019841355706,1.8090525753614368
-0.6199968705414267,-0.5541195454028996,1.7053870327149026
-0.5913354194446273,-0.5460726627132654,1.9423368444784102
-0.5608264751631041,-0.5384259012623422,1.979360252566458
-0.5316434411075631,-0.5297566077569352,1.9608485485224338
-0.5053447648792017,-0.5178641153841331,2.186691337859527
-0.49041724760560124,-0.5107953068335704,2.4199388088142295
-0.47758459937829456,-0.5029262558055855,2.1200492033010407
-0.46231051197817263,-0.48658797189154906,1.9164204588167764
-0.4482985089860109,-0.47702952007789506,1.9719555709488485
-0.42378146745498735,-0.46500365395885607,1.5054606290394434
-0.41166553844534354,-0.4564455052419798,1.5239723330834671
-0.39633636570546366,-0.44886543066417517,1.1648452746294018
-0.388871794000918,-0.4364839012218373,0.698350332719996
-0.37293912172693694,-0.421190378319991,0.7316713999992399
-0.3639134599510215,-0.4076751720346384,0.7242667183816298
-0.35132391897962095,-0.3951158109306512,0.5391496779413897
-0.3329575316764069,-0.38982531899658235,0.7205643775728251
-0.31802859153425156,-0.38731344677578483,0.9315978036746989
