Money Supply,S&P 500,DOW,NASDAQ
5631.6,884.66,8506.62,1280.0
5700.6,847.91,7938.79,1213.72
5750.7,900.96,8517.64,1360.7
5898.8,858.48,8069.86,1348.3
5959.2,916.3,8454.25,1472.56
6042.6,982.32,9040.95,1640.13
6100.7,980.15,9153.97,1715.62
6063.6,1018.22,9469.2,1832.25
6067.0,1070.12,9899.05,1989.82
6150.0,1155.97,10678.14,2057.8
6191.1,1132.17,10373.33,2015.01
6270.2,1121.24,10202.65,1990.77
6283.9,1128.98,10334.16,2015.55
6344.7,1105.92,10168.46,1850.41
6372.9,1131.5,10192.65,1942.2
6399.4,1130.51,10054.39,1979.87
6417.9,1191.37,10590.22,2138.23
6432.5,1189.4,10551.94,2068.7
6441.5,1210.41,10830.0,2071.25
6455.7,1172.92,10404.3,1984.81
6505.5,1202.22,10549.87,2087.86
6537.1,1194.44,10303.44,2057.37
6569.8,1235.35,10623.15,2195.38
6604.0,1221.59,10459.63,2147.9
6654.5,1202.76,10406.77,2114.05
6681.2,1264.67,10912.57,2267.17
6747.9,1282.46,10953.95,2310.56
6762.3,1291.24,11053.53,2314.64
6806.3,1305.19,11343.29,2304.79
6844.4,1285.71,11260.28,2219.86
6916.6,1270.92,11125.73,2061.99
6943.7,1311.01,11464.15,2193.16
7027.6,1367.81,12031.02,2334.35
7070.7,1396.71,12194.13,2413.21
7124.4,1445.94,12673.68,2468.38
7158.1,1403.17,12234.34,2404.21
7244.3,1486.3,13136.14,2531.53
7277.5,1536.34,13668.11,2613.92
7384.2,1465.81,13362.37,2553.87
7416.1,1547.04,14087.55,2740.99
7441.0,1508.44,13567.87,2794.83
7589.5,1395.42,12743.19,2413.36
7698.2,1370.18,12654.36,2362.75
7710.3,1409.34,13010.0,2480.71
7774.2,1284.91,11382.26,2304.97
7789.2,1260.31,11326.32,2310.96
7967.2,1161.06,10831.07,2069.4
8194.1,816.21,8149.09,1398.07
8373.7,811.08,7761.6,1551.6
8431.4,877.52,8212.41,1719.2
8440.9,942.87,8721.44,1828.68
8445.8,923.33,8504.06,1845.72
8444.6,998.04,9310.6,1968.89
8471.5,1029.85,9509.28,2057.48
8496.4,1108.86,10471.58,2175.81
8508.2,1089.18,10185.53,2171.2
8505.2,1115.71,10403.79,2273.57
8535.8,1178.1,10927.1,2402.58
8609.7,1070.71,10024.02,2222.33
8619.4,1027.37,9732.53,2101.36
8700.7,1080.29,10269.47,2176.84
8749.8,1146.24,10829.7,2370.75
8770.5,1184.38,11124.62,2504.84
8802.2,1206.07,11255.8,2549.43
8887.0,1307.59,12040.16,2751.19
8943.4,1306.33,12058.02,2737.41
9004.9,1333.86,12376.7,2789.6
9151.3,1341.59,12290.14,2769.19
9317.0,1320.96,12582.77,2816.03
9508.6,1308.13,12132.49,2744.61
9529.7,1219.05,11493.57,2546.04
9614.2,1218.28,11657.96,2606.96
9661.9,1244.58,12020.03,2626.2
9793.5,1324.08,12716.46,2848.27
9841.2,1374.09,12980.3,2988.97
9938.7,1405.82,13279.32,3050.44
10002.3,1278.04,12118.57,2747.48
10119.4,1375.14,12971.06,2920.21
10260.8,1444.49,13515.11,3113.53
10324.2,1427.59,13232.62,3020.06
10493.0,1513.17,14009.79,3179.1
10559.3,1518.2,14089.66,3169.74
10593.7,1562.17,14572.85,3239.17
10633.5,1582.7,14700.95,3299.13
10732.4,1614.96,14974.96,3434.49
10786.9,1706.87,15628.02,3675.74
10952.1,1695.0,15191.7,3817.98
10957.4,1761.64,15615.55,3922.04
11263.1,1885.52,16532.61,4268.04
11329.6,1883.68,16558.87,4127.45
11437.4,1973.32,16956.07,4458.65
11466.5,1925.15,16493.37,4352.64
11562.1,1946.16,16804.71,4422.09
11677.5,2053.44,17776.8,4727.35
11931.1,2059.69,17698.18,4880.23
11961.4,2108.29,18024.06,5005.39
12006.5,2111.73,18040.37,5082.93
12055.9,2077.42,17757.91,5013.12
12158.6,1913.85,16058.35,4636.1
12196.5,1923.82,16272.01,4627.08
12344.3,2102.63,17888.35,5156.31
12556.9,1939.38,16449.18,4620.37
12621.1,1978.35,16865.08,4689.6
12701.5,2072.78,17792.75,4914.54
12835.4,2099.33,17789.67,4952.25
12894.0,2102.95,17949.37,4862.57
12973.5,2170.84,18404.51,5184.2
13032.8,2170.86,18419.3,5227.21
13180.2,2111.72,18037.1,5153.58
13220.3,2191.08,19191.93,5251.11
13365.9,2279.55,19890.94,5642.65
13435.2,2395.96,21115.55,5904.03
13544.0,2388.33,20913.46,6091.6
13571.3,2430.06,21144.18,6246.83
13677.1,2476.35,21963.92,6362.94
13718.7,2476.55,21987.56,6435.33
13806.1,2579.36,23435.01,6716.53
13858.7,2642.22,24231.59,6847.59
13918.7,2821.98,26186.71,7385.86
13975.1,2677.67,24608.98,7180.56
14070.6,2654.8,24099.05,7130.7
14130.3,2734.62,24635.21,7554.33
14201.8,2813.36,25333.82,7707.29
14239.7,2924.59,26651.21,8037.3
14258.3,2740.37,25380.74,7434.06
14489.8,2706.53,25063.89,7263.87
14536.7,2803.69,26026.32,7595.35
14572.7,2867.19,26258.42,7828.91
14672.5,2923.73,26430.14,8049.64
14862.1,2964.33,26717.43,8091.16
14938.8,2953.56,26583.42,8111.12
15156.7,2940.25,26573.04,7908.67
15254.4,3066.91,27347.36,8386.4
17042.9,2470.5,20943.51,7360.58
17893.0,2830.71,23723.69,8604.95
18179.6,3055.73,25475.02,9552.05
18320.0,3115.86,25734.97,10154.63
18605.0,3526.65,28645.66,11939.67
18751.1,3380.8,27816.9,11326.51
19131.4,3662.45,29823.92,12355.11
