date,Money_supply,year,quarter,month
1986-03-01,2533.1,1986,1,3
1986-04-01,2557.8,1986,2,4
1986-05-01,2584.8,1986,2,5
1986-06-01,2605.0,1986,2,6
1986-07-01,2626.6,1986,3,7
1986-08-01,2646.5,1986,3,8
1986-09-01,2667.8,1986,3,9
1986-10-01,2687.4,1986,4,10
1986-11-01,2701.3,1986,4,11
1986-12-01,2728.0,1986,4,12
1987-01-01,2743.9,1987,1,1
1987-02-01,2747.5,1987,1,2
1987-03-01,2753.7,1987,1,3
1987-04-01,2767.7,1987,2,4
1987-05-01,2772.9,1987,2,5
1987-06-01,2774.6,1987,2,6
1987-07-01,2779.0,1987,3,7
1987-08-01,2788.2,1987,3,8
1987-09-01,2799.5,1987,3,9
1987-10-01,2814.8,1987,4,10
1987-11-01,2818.9,1987,4,11
1987-12-01,2826.4,1987,4,12
1988-01-01,2847.4,1988,1,1
1988-02-01,2870.4,1988,1,2
1988-03-01,2890.7,1988,1,3
1988-04-01,2910.7,1988,2,4
1988-05-01,2926.0,1988,2,5
1988-06-01,2938.4,1988,2,6
1988-07-01,2947.2,1988,3,7
1988-08-01,2952.0,1988,3,8
1988-09-01,2956.9,1988,3,9
1988-10-01,2965.3,1988,4,10
1988-11-01,2980.2,1988,4,11
1988-12-01,2988.2,1988,4,12
1989-01-01,2991.7,1989,1,1
1989-02-01,2992.2,1989,1,2
1989-03-01,2999.7,1989,1,3
1989-04-01,3006.0,1989,2,4
1989-05-01,3011.6,1989,2,5
1989-06-01,3027.9,1989,2,6
1989-07-01,3052.4,1989,3,7
1989-08-01,3074.4,1989,3,8
1989-09-01,3092.5,1989,3,9
1989-10-01,3114.1,1989,4,10
1989-11-01,3133.3,1989,4,11
1989-12-01,3152.5,1989,4,12
1990-01-01,3166.8,1990,1,1
1990-02-01,3179.2,1990,1,2
1990-03-01,3190.1,1990,1,3
1990-04-01,3201.6,1990,2,4
1990-05-01,3200.6,1990,2,5
1990-06-01,3213.7,1990,2,6
1990-07-01,3224.5,1990,3,7
1990-08-01,3242.0,1990,3,8
1990-09-01,3254.6,1990,3,9
1990-10-01,3259.3,1990,4,10
1990-11-01,3262.6,1990,4,11
1990-12-01,3271.8,1990,4,12
1991-01-01,3287.7,1991,1,1
1991-02-01,3304.5,1991,1,2
1991-03-01,3321.9,1991,1,3
1991-04-01,3332.4,1991,2,4
1991-05-01,3343.0,1991,2,5
1991-06-01,3351.9,1991,2,6
1991-07-01,3356.1,1991,3,7
1991-08-01,3355.0,1991,3,8
1991-09-01,3354.9,1991,3,9
1991-10-01,3360.1,1991,4,10
1991-11-01,3365.5,1991,4,11
1991-12-01,3372.2,1991,4,12
1992-01-01,3381.2,1992,1,1
1992-02-01,3400.0,1992,1,2
1992-03-01,3403.9,1992,1,3
1992-04-01,3399.7,1992,2,4
1992-05-01,3398.6,1992,2,5
1992-06-01,3393.4,1992,2,6
1992-07-01,3393.9,1992,3,7
1992-08-01,3398.8,1992,3,8
1992-09-01,3410.3,1992,3,9
1992-10-01,3423.8,1992,4,10
1992-11-01,3426.5,1992,4,11
1992-12-01,3424.7,1992,4,12
1993-01-01,3419.1,1993,1,1
1993-02-01,3414.5,1993,1,2
1993-03-01,3411.7,1993,1,3
1993-04-01,3411.3,1993,2,4
1993-05-01,3436.9,1993,2,5
1993-06-01,3442.4,1993,2,6
1993-07-01,3442.0,1993,3,7
1993-08-01,3445.7,1993,3,8
1993-09-01,3452.2,1993,3,9
1993-10-01,3456.7,1993,4,10
1993-11-01,3470.1,1993,4,11
1993-12-01,3474.5,1993,4,12
1994-01-01,3474.9,1994,1,1
1994-02-01,3475.7,1994,1,2
1994-03-01,3480.1,1994,1,3
1994-04-01,3481.3,1994,2,4
1994-05-01,3490.8,1994,2,5
1994-06-01,3479.5,1994,2,6
1994-07-01,3488.2,1994,3,7
1994-08-01,3485.7,1994,3,8
1994-09-01,3486.1,1994,3,9
1994-10-01,3484.3,1994,4,10
1994-11-01,3487.2,1994,4,11
1994-12-01,3486.4,1994,4,12
1995-01-01,3492.4,1995,1,1
1995-02-01,3489.9,1995,1,2
1995-03-01,3491.1,1995,1,3
1995-04-01,3499.2,1995,2,4
1995-05-01,3524.2,1995,2,5
1995-06-01,3548.9,1995,2,6
1995-07-01,3567.4,1995,3,7
1995-08-01,3589.0,1995,3,8
1995-09-01,3602.1,1995,3,9
1995-10-01,3613.4,1995,4,10
1995-11-01,3619.9,1995,4,11
1995-12-01,3629.5,1995,4,12
1996-01-01,3647.9,1996,1,1
1996-02-01,3661.8,1996,1,2
1996-03-01,3687.0,1996,1,3
1996-04-01,3697.8,1996,2,4
1996-05-01,3709.6,1996,2,5
1996-06-01,3722.5,1996,2,6
1996-07-01,3737.2,1996,3,7
1996-08-01,3744.1,1996,3,8
1996-09-01,3753.5,1996,3,9
1996-10-01,3772.9,1996,4,10
1996-11-01,3795.2,1996,4,11
1996-12-01,3818.7,1996,4,12
1997-01-01,3834.7,1997,1,1
1997-02-01,3846.4,1997,1,2
1997-03-01,3861.3,1997,1,3
1997-04-01,3877.3,1997,2,4
1997-05-01,3889.5,1997,2,5
1997-06-01,3906.3,1997,2,6
1997-07-01,3924.2,1997,3,7
1997-08-01,3957.7,1997,3,8
1997-09-01,3973.4,1997,3,9
1997-10-01,3992.7,1997,4,10
1997-11-01,4015.2,1997,4,11
1997-12-01,4033.3,1997,4,12
1998-01-01,4056.6,1998,1,1
1998-02-01,4089.3,1998,1,2
1998-03-01,4114.7,1998,1,3
1998-04-01,4140.6,1998,2,4
1998-05-01,4164.8,1998,2,5
1998-06-01,4184.6,1998,2,6
1998-07-01,4204.4,1998,3,7
1998-08-01,4229.3,1998,3,8
1998-09-01,4268.2,1998,3,9
1998-10-01,4308.4,1998,4,10
1998-11-01,4347.0,1998,4,11
1998-12-01,4375.9,1998,4,12
1999-01-01,4403.3,1999,1,1
1999-02-01,4426.0,1999,1,2
1999-03-01,4432.7,1999,1,3
1999-04-01,4461.4,1999,2,4
1999-05-01,4486.0,1999,2,5
1999-06-01,4507.8,1999,2,6
1999-07-01,4535.2,1999,3,7
1999-08-01,4552.4,1999,3,8
1999-09-01,4568.4,1999,3,9
1999-10-01,4592.2,1999,4,10
1999-11-01,4611.2,1999,4,11
1999-12-01,4638.7,1999,4,12
2000-01-01,4666.9,2000,1,1
2000-02-01,4680.1,2000,1,2
2000-03-01,4710.8,2000,1,3
2000-04-01,4766.8,2000,2,4
2000-05-01,4754.6,2000,2,5
2000-06-01,4772.4,2000,2,6
2000-07-01,4790.0,2000,3,7
2000-08-01,4818.1,2000,3,8
2000-09-01,4853.8,2000,3,9
2000-10-01,4869.7,2000,4,10
2000-11-01,4880.6,2000,4,11
2000-12-01,4925.2,2000,4,12
2001-01-01,4975.8,2001,1,1
2001-02-01,5014.1,2001,1,2
2001-03-01,5071.9,2001,1,3
2001-04-01,5135.9,2001,2,4
2001-05-01,5132.9,2001,2,5
2001-06-01,5173.2,2001,2,6
2001-07-01,5203.2,2001,3,7
2001-08-01,5237.1,2001,3,8
2001-09-01,5348.2,2001,3,9
2001-10-01,5336.8,2001,4,10
2001-11-01,5380.4,2001,4,11
2001-12-01,5433.5,2001,4,12
2002-01-01,5453.9,2002,1,1
2002-02-01,5483.3,2002,1,2
2002-03-01,5495.2,2002,1,3
2002-04-01,5495.5,2002,2,4
2002-05-01,5521.6,2002,2,5
2002-06-01,5546.6,2002,2,6
2002-07-01,5589.2,2002,3,7
2002-08-01,5631.6,2002,3,8
2002-09-01,5656.0,2002,3,9
2002-10-01,5700.6,2002,4,10
2002-11-01,5750.7,2002,4,11
2002-12-01,5772.0,2002,4,12
2003-01-01,5804.5,2003,1,1
2003-02-01,5840.7,2003,1,2
2003-03-01,5861.5,2003,1,3
2003-04-01,5898.8,2003,2,4
2003-05-01,5959.2,2003,2,5
2003-06-01,5995.9,2003,2,6
2003-07-01,6042.6,2003,3,7
2003-08-01,6100.7,2003,3,8
2003-09-01,6072.7,2003,3,9
2003-10-01,6063.6,2003,4,10
2003-11-01,6068.8,2003,4,11
2003-12-01,6067.0,2003,4,12
2004-01-01,6075.5,2004,1,1
2004-02-01,6114.3,2004,1,2
2004-03-01,6150.0,2004,1,3
2004-04-01,6191.1,2004,2,4
2004-05-01,6267.9,2004,2,5
2004-06-01,6270.2,2004,2,6
2004-07-01,6283.9,2004,3,7
2004-08-01,6310.0,2004,3,8
2004-09-01,6344.7,2004,3,9
2004-10-01,6372.9,2004,4,10
2004-11-01,6399.4,2004,4,11
2004-12-01,6417.9,2004,4,12
2005-01-01,6424.1,2005,1,1
2005-02-01,6432.5,2005,1,2
2005-03-01,6441.5,2005,1,3
2005-04-01,6455.7,2005,2,4
2005-05-01,6473.1,2005,2,5
2005-06-01,6505.5,2005,2,6
2005-07-01,6537.1,2005,3,7
2005-08-01,6569.8,2005,3,8
2005-09-01,6604.0,2005,3,9
2005-10-01,6638.1,2005,4,10
2005-11-01,6654.5,2005,4,11
2005-12-01,6681.2,2005,4,12
2006-01-01,6723.6,2006,1,1
2006-02-01,6747.9,2006,1,2
2006-03-01,6762.3,2006,1,3
2006-04-01,6799.6,2006,2,4
2006-05-01,6806.3,2006,2,5
2006-06-01,6844.4,2006,2,6
2006-07-01,6885.8,2006,3,7
2006-08-01,6916.6,2006,3,8
2006-09-01,6943.7,2006,3,9
2006-10-01,6992.8,2006,4,10
2006-11-01,7027.6,2006,4,11
2006-12-01,7070.7,2006,4,12
2007-01-01,7108.5,2007,1,1
2007-02-01,7124.4,2007,1,2
2007-03-01,7158.1,2007,1,3
2007-04-01,7230.5,2007,2,4
2007-05-01,7244.3,2007,2,5
2007-06-01,7277.5,2007,2,6
2007-07-01,7307.8,2007,3,7
2007-08-01,7384.2,2007,3,8
2007-09-01,7402.5,2007,3,9
2007-10-01,7416.1,2007,4,10
2007-11-01,7441.0,2007,4,11
2007-12-01,7471.1,2007,4,12
2008-01-01,7504.8,2008,1,1
2008-02-01,7589.5,2008,1,2
2008-03-01,7655.3,2008,1,3
2008-04-01,7698.2,2008,2,4
2008-05-01,7710.3,2008,2,5
2008-06-01,7727.8,2008,2,6
2008-07-01,7774.2,2008,3,7
2008-08-01,7789.2,2008,3,8
2008-09-01,7859.1,2008,3,9
2008-10-01,7967.2,2008,4,10
2008-11-01,8017.9,2008,4,11
2008-12-01,8194.1,2008,4,12
2009-01-01,8275.3,2009,1,1
2009-02-01,8304.5,2009,1,2
2009-03-01,8370.4,2009,1,3
2009-04-01,8373.7,2009,2,4
2009-05-01,8431.4,2009,2,5
2009-06-01,8440.9,2009,2,6
2009-07-01,8445.8,2009,3,7
2009-08-01,8445.4,2009,3,8
2009-09-01,8444.6,2009,3,9
2009-10-01,8471.5,2009,4,10
2009-11-01,8501.6,2009,4,11
2009-12-01,8496.4,2009,4,12
2010-01-01,8458.5,2010,1,1
2010-02-01,8508.2,2010,1,2
2010-03-01,8505.2,2010,1,3
2010-04-01,8535.8,2010,2,4
2010-05-01,8590.7,2010,2,5
2010-06-01,8609.7,2010,2,6
2010-07-01,8619.4,2010,3,7
2010-08-01,8669.7,2010,3,8
2010-09-01,8700.7,2010,3,9
2010-10-01,8749.8,2010,4,10
2010-11-01,8770.5,2010,4,11
2010-12-01,8802.2,2010,4,12
2011-01-01,8823.2,2011,1,1
2011-02-01,8887.0,2011,1,2
2011-03-01,8943.4,2011,1,3
2011-04-01,9004.9,2011,2,4
2011-05-01,9075.5,2011,2,5
2011-06-01,9151.3,2011,2,6
2011-07-01,9317.0,2011,3,7
2011-08-01,9508.6,2011,3,8
2011-09-01,9529.7,2011,3,9
2011-10-01,9563.5,2011,4,10
2011-11-01,9614.2,2011,4,11
2011-12-01,9661.9,2011,4,12
2012-01-01,9735.6,2012,1,1
2012-02-01,9793.5,2012,1,2
2012-03-01,9841.2,2012,1,3
2012-04-01,9894.0,2012,2,4
2012-05-01,9938.7,2012,2,5
2012-06-01,10002.3,2012,2,6
2012-07-01,10059.5,2012,3,7
2012-08-01,10119.4,2012,3,8
2012-09-01,10197.4,2012,3,9
2012-10-01,10260.8,2012,4,10
2012-11-01,10324.2,2012,4,11
2012-12-01,10455.8,2012,4,12
2013-01-01,10481.1,2013,1,1
2013-02-01,10493.0,2013,1,2
2013-03-01,10559.3,2013,1,3
2013-04-01,10593.7,2013,2,4
2013-05-01,10633.5,2013,2,5
2013-06-01,10686.0,2013,2,6
2013-07-01,10732.4,2013,3,7
2013-08-01,10786.9,2013,3,8
2013-09-01,10838.6,2013,3,9
2013-10-01,10952.1,2013,4,10
2013-11-01,10957.4,2013,4,11
2013-12-01,11023.6,2013,4,12
2014-01-01,11079.9,2014,1,1
2014-02-01,11172.6,2014,1,2
2014-03-01,11210.8,2014,1,3
2014-04-01,11263.1,2014,2,4
2014-05-01,11329.6,2014,2,5
2014-06-01,11380.4,2014,2,6
2014-07-01,11437.4,2014,3,7
2014-08-01,11466.5,2014,3,8
2014-09-01,11500.2,2014,3,9
2014-10-01,11562.1,2014,4,10
2014-11-01,11598.2,2014,4,11
2014-12-01,11677.5,2014,4,12
2015-01-01,11747.4,2015,1,1
2015-02-01,11875.2,2015,1,2
2015-03-01,11891.8,2015,1,3
2015-04-01,11931.1,2015,2,4
2015-05-01,11961.4,2015,2,5
2015-06-01,12006.5,2015,2,6
2015-07-01,12055.9,2015,3,7
2015-08-01,12104.6,2015,3,8
2015-09-01,12158.6,2015,3,9
2015-10-01,12196.5,2015,4,10
2015-11-01,12280.9,2015,4,11
2015-12-01,12344.3,2015,4,12
2016-01-01,12475.9,2016,1,1
2016-02-01,12556.9,2016,1,2
2016-03-01,12621.1,2016,1,3
2016-04-01,12701.5,2016,2,4
2016-05-01,12768.3,2016,2,5
2016-06-01,12835.4,2016,2,6
2016-07-01,12894.0,2016,3,7
2016-08-01,12973.5,2016,3,8
2016-09-01,13032.8,2016,3,9
2016-10-01,13105.6,2016,4,10
2016-11-01,13180.2,2016,4,11
2016-12-01,13220.3,2016,4,12
2017-01-01,13295.3,2017,1,1
2017-02-01,13365.9,2017,1,2
2017-03-01,13435.2,2017,1,3
2017-04-01,13493.2,2017,2,4
