date,rolling_z_Money_supply,rolling_z_top_tier_home_value,rolling_z_mid_tier_home_value,rolling_z_bottom_tier_home_value,rolling_z_single_family_home_value,rolling_z_condo_coop_value
1998-12-01,1.9864659228121158,2.054438264243988,1.9880713387878723,1.9756574269004727,2.0095139960453388,2.012055036564511
1999-01-01,1.9601798699350765,1.9973515723619237,1.9432704113883916,1.9269349280731414,1.9588742246142805,1.9504533305291365
1999-02-01,1.9164840546176036,1.96964933429528,1.9221858804105418,1.9024136700662009,1.9327817662186249,1.9148987389969443
1999-03-01,1.813511022341562,1.9534456947549628,1.9122222835851888,1.8900477064540424,1.9200474186187984,1.8711781476312097
1999-04-01,1.807523961223609,1.971395798920028,1.9239187839250076,1.8921702250986665,1.930989555074335,1.844394962848657
1999-05-01,1.7855128645959153,1.9762439710309132,1.923619874114534,1.8854650588711381,1.9294350294719733,1.8208916425958686
1999-06-01,1.7549526438358305,1.9924472345050455,1.933859723662676,1.8859620462357571,1.936491555598248,1.823896122100583
1999-07-01,1.7473024658633127,2.0010329916119347,1.9418178959537744,1.886410601768215,1.9422540315371983,1.8184383086808165
1999-08-01,1.7046466674355834,1.9964886230966066,1.9331807999572368,1.875058884976348,1.933041428767738,1.8002381998177497
1999-09-01,1.6636173720919494,1.9783606759875325,1.9134653489615479,1.856950198516628,1.9132974047193005,1.7697969654624204
1999-10-01,1.6541709276743215,1.9611810225659454,1.8936989765059238,1.8389124367083096,1.8936771709077211,1.7531404202758618
1999-11-01,1.627862148997815,1.9691241810565654,1.9018948721749358,1.8486073537375247,1.902039426333706,1.7569944813987957
1999-12-01,1.6328765057660284,1.9809844915241597,1.9124259321303552,1.860301828249125,1.9148417225811198,1.747692497720196
2000-01-01,1.6395962279574843,2.002257592487218,1.9289273451013949,1.8760578198375562,1.9344715326249409,1.748120486338425
2000-02-01,1.5948625885700183,2.009271130912584,1.9354791816574692,1.878724575580093,1.9425991445528499,1.7486674427001654
2000-03-01,1.615734632002954,2.0105728685935915,1.938104174459535,1.8794060992216906,1.944504285110323,1.7683785249856254
2000-04-01,1.7205402486482457,1.9954926153401384,1.9314397847224054,1.8745704048534702,1.9354550596752789,1.7810528190819828
2000-05-01,1.5844623098848243,1.9825010296951102,1.9268077309588705,1.872857448818341,1.9286737457054934,1.7976544145222202
2000-06-01,1.5653818088779328,1.9614366852608223,1.9174498411279093,1.866143734283543,1.9179572012400616,1.8072473522073924
2000-07-01,1.5489705397453029,1.9421062258722643,1.9078061993176385,1.85869612322397,1.9065130266197432,1.8231372241528196
2000-08-01,1.5693306270624556,1.9263723171520246,1.9002338763060613,1.8541880877875525,1.8975895885382836,1.8338766732262575
2000-09-01,1.6160180285832029,1.916759612903381,1.8962600172724406,1.8548225682799617,1.8926523103704924,1.8458110303503954
2000-10-01,1.591244039173963,1.9074462548067639,1.8915267705776675,1.85451403819007,1.886900613032131,1.8457970903485772
2000-11-01,1.5523829320570983,1.8965580736621679,1.886505427889536,1.8523448471036321,1.8805169839106153,1.8475656790765167
2000-12-01,1.6378516375393681,1.890702026862566,1.8864903695205328,1.8551046991388171,1.8783678443733143,1.8614186728693587
2001-01-01,1.7368520271480263,1.8869030316347395,1.8886212582361772,1.863139393448872,1.8795997403662679,1.875663186857649
2001-02-01,1.7802771572843672,1.857767451929329,1.8591100330818313,1.8593147656450206,1.8437253844416528,1.9461642493989477
2001-03-01,1.8834152123373784,1.8465228638192817,1.8564158631266638,1.8589601432666512,1.8430487406527587,1.9436115893593673
2001-04-01,1.9890188533337787,1.8332520446714433,1.8501187056377812,1.8529561278536733,1.8388630141674185,1.9453477144183622
2001-05-01,1.8576887329637173,1.8203835749410004,1.8451798906426868,1.8457959512976194,1.83574538234044,1.9235613119611994
2001-06-01,1.8852834934939096,1.8062135608311938,1.8361157993374155,1.8360704699639514,1.8276642405182533,1.8956545814787171
2001-07-01,1.8754043336701047,1.7912391211331733,1.825740593822554,1.8250425117519204,1.8178026130381826,1.8709511068622353
2001-08-01,1.8779128510332725,1.7792563853389953,1.8170606660774846,1.8155975816359122,1.8094380095244305,1.8530696041294692
2001-09-01,2.111357863913021,1.7660228215746783,1.8061308958411935,1.802712446748087,1.7988207944792818,1.8378518449975312
2001-10-01,1.9297818974722378,1.753756752914305,1.796742414578221,1.790457262274366,1.7897047236716577,1.8258625435641036
2001-11-01,1.934016379351584,1.7381552927705004,1.7823243908021338,1.7742665724721847,1.7757404481823207,1.8117646540706691
2001-12-01,1.9595234520426072,1.7227445395226197,1.7688313236075635,1.759594114678839,1.7632572725322475,1.794936071413155
2002-01-01,1.8844027314155698,1.705030675612386,1.7520160394831925,1.741802484894064,1.7472684443717001,1.7731097478369238
2002-02-01,1.8429243354942733,1.6919891214535667,1.7396902316524472,1.7291177276565517,1.7358750114224797,1.7479149946516745
2002-03-01,1.7598813184303188,1.6819746657493182,1.728018680359523,1.7184380480144428,1.7245665606766474,1.7274340058486393
2002-04-01,1.6541705906942281,1.678036096789293,1.7215835072341001,1.7123653813631459,1.7186167172940325,1.710446824191805
2002-05-01,1.6302402834159455,1.6735105315491987,1.7128172982852203,1.703120181653365,1.7104804429267062,1.6959945490325292
2002-06-01,1.6056180390067534,1.672962429493554,1.7079053621523317,1.6962578000436428,1.7066312662521466,1.6814150165799293
2002-07-01,1.6298874472109346,1.6761922608782107,1.7061477533777334,1.6937922337492382,1.7063814670516373,1.6699214720437414
2002-08-01,1.6507497583066049,1.683022155792928,1.70937003227984,1.6958736962414298,1.7104678606950356,1.6699102754793838
